Action,Trial,AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,
(Action),(Trial),7952,8734,8191,8710,9097,8612,8513,8936,7437,9025,7916,8252,9270,8835,
(Action),(Trial),7944,8728,8193,8712,9096,8613,8515,8936,7440,9025,7895,8252,9264,8828,
(Action),(Trial),7935,8729,8194,8712,9095,8612,8515,8937,7439,9025,7896,8252,9289,8825,
(Action),(Trial),7947,8736,8194,8713,9092,8614,8530,8937,7441,9025,7861,8252,9257,8829,
(Action),(Trial),7961,8727,8194,8709,9097,8606,8513,8937,7436,9026,7878,8252,9260,8828,
(Action),(Trial),7961,8725,8194,8706,9088,8608,8518,8937,7432,9025,7890,8252,9283,8828,
(Action),(Trial),7959,8727,8194,8712,9090,8609,8523,8937,7436,9013,7892,8252,9275,8828,
(Action),(Trial),7957,8725,8192,8703,9086,8608,8518,8937,7437,9025,7895,8251,9292,8828,
(Action),(Trial),7957,8731,8191,8715,9096,8611,8517,8935,7429,9029,7886,8252,9258,8828,
(Action),(Trial),7957,8729,8192,8707,9097,8609,8515,8936,7431,9035,7874,8252,9264,8828,
(Action),(Trial),7957,8727,8192,8708,9092,8609,8517,8936,7433,9030,7899,8252,9270,8828,
(Action),(Trial),7957,8729,8192,8707,9092,8608,8518,8934,7431,9022,7899,8252,9270,8828,
(Action),(Trial),7957,8730,8192,8712,9092,8606,8516,8936,7421,9012,7883,8252,9272,8828,
(Action),(Trial),7957,8726,8192,8711,9093,8613,8516,8925,7429,9034,7869,8252,9268,8828,
(Action),(Trial),7957,8725,8192,8706,9093,8607,8516,8942,7431,9009,7890,8252,9262,8828,
(Action),(Trial),7957,8727,8192,8712,9093,8609,8516,8935,7424,9025,7890,8252,9272,8828,
(Action),(Trial),7957,8727,8192,8707,9094,8606,8516,8934,7438,9029,7887,8252,9280,8828,
(Action),(Trial),7957,8726,8192,8719,9095,8608,8518,8939,7426,9029,7890,8252,9265,8828,
(Action),(Trial),7957,8730,8192,8703,9095,8608,8517,8920,7443,9028,7901,8251,9264,8827,
(Action),(Trial),7957,8726,8192,8713,9095,8609,8517,8936,7423,9028,7898,8251,9269,8828,
(Action),(Trial),7957,8728,8192,8711,9095,8609,8517,8938,7434,9029,7897,8253,9266,8835,
(Action),(Trial),7957,8728,8192,8711,9095,8605,8517,8937,7425,9027,7889,8255,9268,8849,
(Action),(Trial),7957,8726,8192,8707,9095,8610,8517,8927,7432,9029,7875,8253,9267,8842,
(Action),(Trial),7957,8726,8192,8708,9095,8608,8517,8938,7431,9003,7891,8249,9266,8842,
(Action),(Trial),7957,8728,8192,8716,9095,8609,8517,8934,7428,9009,7888,8250,9276,8841,
(Action),(Trial),7957,8728,8192,8703,9095,8606,8517,8937,7447,9006,7894,8250,9270,8842,
(Action),(Trial),7957,8730,8192,8709,9095,8606,8518,8935,7417,9006,7903,8249,9269,8842,
(Action),(Trial),7957,8727,8192,8711,9095,8605,8514,8938,7423,9003,7901,8254,9266,8842,
(Action),(Trial),7957,8730,8192,8700,9095,8605,8516,8937,7419,9033,7891,8248,9270,8842,
(Action),(Trial),7957,8726,8192,8712,9095,8608,8516,8937,7423,9027,7897,8248,9274,8842,
(Action),(Trial),7958,8730,8192,8710,9095,8607,8518,8932,7432,9029,7896,8253,9276,8842,
(Action),(Trial),7957,8718,8191,8700,9095,8606,8517,8931,7420,9029,7897,8256,9272,8842,
(Action),(Trial),7962,8729,8192,8712,9095,8610,8517,8935,7434,9005,7897,8256,9270,8842,
